id,byline,image_url,url,section,publisher,title,date
2770642,,,https://nos.nl/artikel/2367169-hoekstra-wil-salarissen-commissarissen-niet-verhogen-kamer-opgelucht.html,Politiek | Economie,NOS nieuws,"Hoekstra wil salarissen commissarissen niet verhogen, Kamer opgelucht ",2021-02-03T13:30:45
2770644,,,https://nos.nl/artikel/2367166-kritische-kamer-waarom-reageerde-de-jonge-op-ggd-lek-zo-nonchalant.html,Politiek,NOS nieuws,Kritische Kamer: waarom reageerde De Jonge op GGD-lek zo nonchalant? ,2021-02-03T13:04:58
2770654,,,https://nos.nl/artikel/2367142-kabinet-herhaalt-geen-extra-salarisverhoging-in-de-zorg.html,Politiek,NOS nieuws,Kabinet herhaalt: geen extra salarisverhoging in de zorg,2021-02-03T10:16:51
2770696,,,https://nos.nl/artikel/2367088-recordaantal-van-41-partijen-levert-kandidatenlijst-in-voor-verkiezingen.html,Politiek,NOS nieuws,Recordaantal van 41 partijen levert kandidatenlijst in voor verkiezingen,2021-02-02T20:21:27
2770705,,,https://nos.nl/artikel/2367065-omstreden-politieke-thema-s-in-ijskast-tot-komst-nieuw-kabinet.html,Politiek,NOS nieuws,'Omstreden' politieke thema's in ijskast tot komst nieuw kabinet,2021-02-02T18:12:42
2770709,,,https://nos.nl/artikel/2367054-hoge-palestijnse-onderscheiding-voor-dries-van-agt-op-zijn-90ste-verjaardag.html,Binnenland,NOS nieuws,Hoge Palestijnse onderscheiding voor Dries van Agt op zijn 90ste verjaardag,2021-02-02T17:01:22
2770713,,,https://nos.nl/artikel/2367049-kamer-archieven-over-suriname-moeten-openbaar-worden.html,Politiek,NOS nieuws,Kamer: archieven over Suriname  moeten openbaar worden,2021-02-02T16:45:22
2770714,,,https://nos.nl/artikel/2367048-tweede-kamer-wil-sociale-werkvoorziening-nieuw-leven-inblazen.html,Politiek,NOS nieuws,Tweede Kamer wil sociale werkvoorziening nieuw leven inblazen,2021-02-02T16:36:16
2770716,,,https://nos.nl/artikel/2367043-kamer-geen-taakstraf-voor-mensen-die-geweld-plegen-tegen-politie.html,Politiek,NOS nieuws,Kamer: geen taakstraf voor mensen die geweld plegen tegen politie ,2021-02-02T15:58:22
2770754,,,https://nos.nl/nieuwsuur/artikel/2367025-de-uitzending-van-2-februari-kabinet-versoepelt-maatregelen-waarom-nu-ggd-opereert-middenin-de-orkaan-horecaondernemers-zien-brood-in-dark-kitchens.html,Binnenland,Nieuwsuur,"De uitzending van 2 februari: Kabinet versoepelt maatregelen, waarom nu? / 'GGD opereert middenin de orkaan' / Horecaondernemers zien brood in dark kitchens ",2021-02-02T11:41:37
2770755,,,https://nos.nl/nieuwsuur/artikel/2366997-fnv-vindt-onderbetaling-medewerkers-coronacallcenters-oneerlijk-en-genant.html,Binnenland,Nieuwsuur,FNV vindt ‘onderbetaling’ medewerkers coronacallcenters 'oneerlijk en gênant',2021-02-02T07:00:01
2770763,,,https://nos.nl/artikel/2366950-kamerleden-willen-opheldering-over-telefoontje-in-zaak-poch.html,Binnenland | Buitenland | Politiek | Koningshuis,NOS nieuws,Kamerleden willen opheldering over 'telefoontje' in zaak Poch,2021-02-01T18:50:24
2770764,,,https://nos.nl/artikel/2366948-mogelijk-veel-meer-zwarte-lijsten-en-dus-meer-compensatie-bij-belastingdienst.html,Politiek,NOS nieuws,Mogelijk veel meer 'zwarte lijsten' en dus meer compensatie bij Belastingdienst,2021-02-01T18:36:29
2770807,,,https://nos.nl/artikel/2366858-prins-william-treurt-na-berichten-voetballer-rashford-racisme-moet-stoppen.html,Buitenland | Koningshuis,NOS nieuws,Prins William treurt na berichten voetballer Rashford: 'Racisme moet stoppen',2021-02-01T00:46:51
2770809,,,https://nos.nl/nieuwsuur/artikel/2366986-minister-ontkent-politieke-inmenging-in-zaak-poch-maar-die-was-er-wel-degelijk.html,Binnenland,Nieuwsuur,"Minister ontkent politieke inmenging in zaak-Poch, maar die was er wel degelijk",2021-02-01T23:09:46
2770866,,,https://nos.nl/nieuwsuur/artikel/2366833-scholen-weer-open-maar-de-zorgen-blijven.html,Binnenland,Nieuwsuur,"Scholen weer open, maar de zorgen blijven",2021-01-31T19:43:56
2770892,,,https://nos.nl/artikel/2366637-groningse-grensgemeente-bezorgd-over-radioactief-afval.html,Regionaal nieuws,NOS nieuws,Groningse grensgemeente bezorgd over radioactief afval,2021-01-30T17:45:39
